Title,Authors,Contributors,ISBN/UID,Format,Read Status,Date Added,Last Date Read,Dates Read,Read Count,Moods,Pace,Character- or Plot-Driven?,Strong Character Development?,Loveable Characters?,Diverse Characters?,Flawed Characters?,Star Rating,Review,Content Warnings,Content Warning Description,Tags,Owned?
Perry Rhodan NEO: Volume 3,"Michael Marcus Thurner, Frank Borsch","",9781718379145,digital,to-read,2023/09/23,"","",0,"",,,,,,,,,"",,on-hold,Yes
"Konosuba: An Explosion on This Wonderful World!, Vol. 1 (light novel): Megumin's Turn",Natsume Akatsuki,"",9781975359607,paperback,read,2023/11/04,2023/11/10,2023/10/31-2023/11/10,1,"",,"","","","","",4.0,"","","","",Yes
ドラゴンクエストダイの大冒険新装彩録版 20: 5,"稲田浩司, 三条 陸",Kōji Inada (Illustrator),9784087925791,paperback,read,2022/07/18,"","",1,"",,,,,,,,,"",,manga,No
"One Piece, Vol. 63: Otohime and Tiger",Eiichiro Oda,"",9781421543079,paperback,read,2022/07/08,2022/07/10,2022/07/10,1,"",,,,,,,,,"",,manga,No
Vampire of the Mists,Christie Golden,"",9780786961863,digital,to-read,2023/07/03,"","",0,"",,,,,,,,,"",,"",Yes
"One Piece, Vol. 45: You Have My Sympathies",Eiichiro Oda,"",9781421534619,paperback,read,2022/07/03,2022/07/03,2022/07/03,1,"",,,,,,,,,"",,manga,No
O Último Adeus de Sherlock Holmes,Arthur Conan Doyle,"",9789722526135,paperback,read,2021/05/06,"","",1,"",,,,,,,,,"",,"",No
"Lumberjanes: To The Max Edition, Vol. 1","Grace Ellis, ND Stevenson, Shannon Watters","",9781608868094,hardcover,read,2015/03/10,"","",1,"",,,,,,,4.0,,"",,graphic-novels,No
Warlord of Mars: Dejah Thoris Volume 2 - Pirate Queen of Mars,Arvid Nelson,"",9781606902677,paperback,read,2015/01/16,"","",1,"",,,,,,,3.0,,"",,graphic-novels,No
ブラッククローバー 18 [Burakku Kurōbā 18],Yûki Tabata,"",9784088816869,paperback,read,2022/07/14,2020/01/01,2020/01/01,1,"",,,,,,,,,"",,manga,No
"Drink, Slay, Love",Sarah Beth Durst,"",9781442423732,hardcover,read,2014/07/02,2014/07/09,2014/07/09,1,"",,,,,,,4.0,,"",,"",No
"Miss Kobayashi's Dragon Maid, Vol. 2",coolkyousinnjya,Jenny McKeon (Translator),9781626924314,paperback,read,2021/11/14,2020/01/01,2020/01/01,1,"",,,,,,,,,"",,manga,No
"Konosuba: God's Blessing on This Wonderful World!, Vol. 3: You're Being Summoned, Darkness",Natsume Akatsuki,"Kurone Mishima (Illustrator), Kevin Steinbach (Translator)",9780316468732,paperback,read,2023/10/14,2023/10/14,2023/10/13-2023/10/14,1,"",,"","","","","",4.0,"","","","",Yes
The Remarkable Retirement of Edna Fisher,E.M. Anderson,"",9781956037210,paperback,to-read,2023/10/18,"","",0,"",,,,,,,,,"",,"",No
"One Piece, Vol. 38: Rocketman!!",Eiichiro Oda,"",9781421534541,paperback,read,2022/05/23,2022/05/23,2022/05/23,1,"",,,,,,,,,"",,manga,No
"Hikaru No Go, Vol. 12",Yumi Hotta,"",9781421515083,paperback,read,2022/02/27,"","",1,"",,,,,,,,,"",,manga,No
Gal Gohan Vol. 4,Marii Taiyou,"",9781645057352,paperback,read,2022/03/12,2022/03/13,2022/03/13,1,"",,,,,,,3.0,,"",,manga,No
A Fortaleza das Seis Luas,"K.H. Scheer, Richard Paul Neto",K.H. Scheer (Translator),,,read,2016/08/22,"","",1,"",,,,,,,,,"",,"",No
A Rip Through Time,Kelley Armstrong,"",9781250864895,paperback,read,2022/06/05,2022/06/13,2022/06/13,1,"",,,,,,,4.0,,"",,"",Yes
In a Witch's Wardrobe,Juliet Blackwell,"",9780451237477,paperback,read,2018/06/28,2019/01/07,2019/01/07,1,"",,,,,,,3.0,,"",,"",No
"Soul Eater NOT!, Vol. 1",Atsushi Ohkubo,"",9780316213622,paperback,read,2015/04/14,2015/04/14,2015/04/14,1,"",,,,,,,4.0,,"",,manga,No
S.O.S. : Espaçonave Titan,Kurt Brand,"","",,read,2016/08/22,"","",1,"",,,,,,,,,"",,"",No
ドラゴンクエストダイの大冒険新装彩録版 11: 1,"稲田浩司, 三条 陸",Kōji Inada (Illustrator),9784087925708,paperback,read,2022/07/18,"","",1,"",,,,,,,,,"",,manga,No
"Durarara!!, Vol. 3 (light novel)",Ryohgo Narita,"Suzuhito Yasuda (Illustrator), Stephen Paul (Translator)",9780316304771,paperback,to-read,2023/12/25,"","",0,"",,,,,,,,,"",,"",Yes
Spellcasting in Silk,Juliet Blackwell,"",,,read,2023/03/23,2023/04/02,2023/04/02,1,"",,,,,,,4.0,,"",,"",Yes
Delicious in Dungeon Vol. 8,"Ryoko Kui, Ryoko Kui","",,digital,read,2022/10/09,2022/10/10,2022/10/10,1,"",,,,,,,4.0,,"",,manga,No
O Segredo do Cofre de Tempo,Clark Darlton,Maria M. Würth Teixeira,"",,read,2016/08/22,"","",1,"",,,,,,,,,"",,"",No
Histórias de Horror: O mito de Cthulhu,H.P. Lovecraft,Lenita Maria Rímoli Esteves,9788572328227,paperback,read,2021/05/08,"","",1,"",,,,,,,4.0,,"",,"",No
"Hikaru No Go, Vol. 2, Volume 2",Yumi Hotta,"",9781591164968,paperback,read,2022/02/27,"","",1,"",,,,,,,,,"",,manga,No
Reincarnation Blues,Michael Poore,"",9780399178481,hardcover,to-read,2023/12/25,"","",0,"",,,,,,,,,"",,"",Yes
"Levtan, o Traidor",Kurt Brand,"","",paperback,read,2021/05/08,"","",1,"",,,,,,,,,"",,"",No
"Black Clover, Vol. 25: Humans And Evil","Yûki Tabata, Yûki Tabata","",,digital,read,2023/01/24,2023/01/24,2023/01/24,1,"",,,,,,,,,"",,manga,No
When Sharks Attack with Kindness,Andrés J. Colmenares,"",9781524864811,hardcover,to-read,2023/07/02,"","",0,"",,,,,,,,,"",,on-hold,Yes
The Color of Magic,Terry Pratchett,"",9780060855925,paperback,read,2013/08/06,2013/01/01,2013/01/01,1,"",,,,,,,5.0,,"",,"",No
Sawkill Girls,Claire Legrand,"",B0763LQDLH,digital,read,2021/10/23,2022/02/21,2022/02/21,1,"",,,,,,,4.0,,"",,"",Yes
O Jogo do Camaleão,Marçal Aquino,"",,paperback,read,2021/05/06,"","",1,"",,,,,,,,,"",,"",No
"Don't Toy With Me, Miss Nagatoro, Vol. 4",nanashi,"",,digital,read,2023/03/24,2023/03/24,2023/03/24,1,"",,,,,,,,,"",,manga,No
"One Piece, Vol. 9: Tears",Eiichiro Oda,"",9781421501918,paperback,read,2022/04/15,2022/04/01,2022/04/01,1,"",,,,,,,,,"",,manga,No
The Classic Horror Stories,"Roger Luckhurst, H.P. Lovecraft","",9780199639571,hardcover,to-read,2023/07/02,"","",0,"",,,,,,,,,"",,on-hold,Yes
"One-Punch Man, Vol. 14",ONE,Yusuke Murata (Illustrator),9781974700431,paperback,read,2023/03/12,2023/03/12,2023/03/12,1,"",,,,,,,,,"",,manga,No
Castle in the Air,Donald E. Westlake,"",9781785657238,digital,to-read,2023/09/05,"","",0,"",,,,,,,,,"",,"",Yes
Gotham Academy Vol. 1: Welcome to Gotham Academy (the New 52),"Brenden Fletcher, Becky Cloonan",Karl Kerschl (Illustrator),9781401254728,paperback,read,2015/03/27,"","",1,"",,,,,,,4.0,,"",,graphic-novels,No
ブラッククローバー 10 [Burakku Kurōbā 10],Yûki Tabata,"",9784088810232,paperback,read,2022/07/14,2020/01/01,2020/01/01,1,"",,,,,,,,,"",,manga,No
The Mapmakers,Tamzin Merchant,"",9781324016014,hardcover,to-read,2023/07/02,"","",0,"",,,,,,,,,"",,"",Yes
ドラゴンクエストダイの大冒険新装彩録版 17: 2,"稲田浩司, 三条 陸",Kōji Inada (Illustrator),9784087925760,paperback,read,2022/07/18,"","",1,"",,,,,,,,,"",,manga,No
Sleight of Paw,Sofie Kelly,"",9780451234537,paperback,read,2013/09/20,2013/11/06,2013/11/06,1,"",,,,,,,4.0,,"",,"",No
"One-Punch Man, Vol. 18",ONE,Yusuke Murata (Illustrator),9781974715732,digital,read,2023/03/12,2023/03/12,2023/03/12,1,"",,,,,,,,,"",,manga,No
Perry Rhodan NEO: Volume 1,Frank Borsch,"Barbara Wiebking (Translator), Reuben Phillips (Translator), toi8 (Illustrator)",9781718379107,digital,read,2023/07/02,2023/07/13,2023/07/03-2023/07/13,1,"reflective, tense",medium,,,,,,4.0,,"","","",Yes
"One Piece, Vol. 61: Romance Dawn: For the New World",Eiichiro Oda,"",9781421541440,paperback,read,2022/07/03,2022/07/03,2022/07/03,1,"",,,,,,,,,"",,manga,No
"One Piece, Vol. 2: Buggy the Clown",Eiichiro Oda,"",9781591160571,paperback,read,2022/03/31,2022/03/31,2022/03/31,1,"",,,,,,,,,"",,manga,No
Webs of Influence: The Psychology Of Online Persuasion,"Nathalie Nahai, Nathalie Nahai","",9781292134604,paperback,did-not-finish,2018/09/27,"","",0,"",,,,,,,,,"",,"",No
Cat Trick,Sofie Kelly,"",9780451414694,paperback,read,2014/12/03,2015/01/06,2015/01/06,1,"",,,,,,,4.0,,"",,"",No
A Murder Is Announced,Agatha Christie,"",9781579126292,hardcover,read,2016/05/25,2016/06/13,2016/06/13,1,"",,,,,,,,,"",,"",No
Túneis,"Roderick Gordon, Brian Williams","",,paperback,read,2013/08/06,"","",1,"",,,,,,,4.0,,"",,"",No
Summer Knight,Jim Butcher,James Marsters (Narrator),9781480581395,audio,read,2021/06/13,2021/12/03,2021/12/03,1,"",,,,,,,4.0,,"",,"",No
Soul Relic,Samuel Hinton,"",B0B46Q18WK,digital,to-read,2023/12/25,"","",0,"",,,,,,,,,"",,"",Yes
